BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,BEGIN_DATE,BEGIN_DATETIME,END_DATE,END_DATETIME,storm_severity,storm_duration,Storm_Severity
195205,23,400,195205,23,400,,10099759,OKLAHOMA,40,1952,May,Tornado,C,119,PAYNE,,23-MAY-52 04:00:00,CST,23-MAY-52 04:00:00,0,0,0,0,2500.0,0,,0,,,,F1,0.0,33,,,,,0,,,0,,,36.02,-96.82,,,,,PUB,19520523,1952-05-23 04:00:00,19520523,1952-05-23 04:00:00,Low,0.0,Low
195205,23,430,195205,23,430,,10099760,OKLAHOMA,40,1952,May,Tornado,C,75,KIOWA,,23-MAY-52 04:30:00,CST,23-MAY-52 04:30:00,0,0,0,0,2500.0,0,,0,,,,F1,16.9,100,,,,,0,,,0,,,34.67,-98.87,34.83,-98.65,,,PUB,19520523,1952-05-23 04:03:00,19520523,1952-05-23 04:03:00,Low,0.0,Low
195205,23,445,195205,23,445,,10099761,OKLAHOMA,40,1952,May,Tornado,C,31,COMANCHE,,23-MAY-52 04:45:00,CST,23-MAY-52 04:45:00,1,0,0,0,250000.0,0,,0,,,,F2,0.3,150,,,,,0,,,0,,,34.62,-98.42,,,,,PUB,19520523,1952-05-23 04:04:05,19520523,1952-05-23 04:04:05,Low,0.0,High
195205,23,500,195205,23,500,,10099762,OKLAHOMA,40,1952,May,Tornado,C,31,COMANCHE,,23-MAY-52 05:00:00,CST,23-MAY-52 05:00:00,0,0,0,0,250000.0,0,,0,,,,F2,0.0,200,,,,,0,,,0,,,34.65,-98.43,,,,,PUB,19520523,1952-05-23 05:00:00,19520523,1952-05-23 05:00:00,Low,0.0,High
195206,1,49,195206,1,49,,10099763,OKLAHOMA,40,1952,June,Tornado,C,129,ROGER MILLS,,01-JUN-52 00:49:00,CST,01-JUN-52 00:49:00,0,0,0,0,2500.0,0,,0,,,,F1,0.0,33,,,,,0,,,0,,,35.5,-100.0,,,,,PUB,19520601,,19520601,,Low,,Low
195206,4,1530,195206,4,1530,,10099764,OKLAHOMA,40,1952,June,Tornado,C,11,BLAINE,,04-JUN-52 15:30:00,CST,04-JUN-52 15:30:00,0,0,0,0,2500.0,0,,0,,,,F1,0.0,33,,,,,0,,,0,,,36.07,-98.32,,,,,PUB,19520604,1952-06-04 15:03:00,19520604,1952-06-04 15:03:00,Low,0.0,Low
195206,15,50,195206,15,50,,10099765,OKLAHOMA,40,1952,June,Tornado,C,129,ROGER MILLS,,15-JUN-52 00:50:00,CST,15-JUN-52 00:50:00,0,0,0,0,2500.0,0,,0,,,,F1,0.0,33,,,,,0,,,0,,,35.62,-99.68,,,,,PUB,19520615,,19520615,,Low,,Low
195206,21,1550,195206,21,1550,,10099766,OKLAHOMA,40,1952,June,Tornado,C,93,MAJOR,,21-JUN-52 15:50:00,CST,21-JUN-52 15:50:00,0,0,0,0,30.0,0,,0,,,,F1,0.3,440,,,,,0,,,0,,,36.28,-98.42,,,,,PUB,19520621,1952-06-21 15:05:00,19520621,1952-06-21 15:05:00,Low,0.0,Low
195206,29,1630,195206,29,1630,,10099767,OKLAHOMA,40,1952,June,Tornado,C,141,TILLMAN,,29-JUN-52 16:30:00,CST,29-JUN-52 16:30:00,1,0,0,0,2500.0,0,,0,,,,F2,0.0,33,,,,,0,,,0,,,34.38,-99.0,,,,,PUB,19520629,1952-06-29 16:03:00,19520629,1952-06-29 16:03:00,Low,0.0,Low
195207,7,1330,195207,7,1330,,10099768,OKLAHOMA,40,1952,July,Tornado,C,17,CANADIAN,,07-JUL-52 13:30:00,CST,07-JUL-52 13:30:00,0,0,0,0,0.0,0,,0,,,,F1,3.6,50,,,,,0,,,0,,,35.33,-97.83,35.37,-97.78,,,PUB,19520707,1952-07-07 13:03:00,19520707,1952-07-07 13:03:00,Low,0.0,Low
